ID,Name,Code,Country
54,Aero Comondu,ACO,Mexico
55,Astral Aviation,ACP,Kenya
56,Air Cess,ACS,Liberia
57,Air Aurora,AAI,United States
58,Air Cargo Transportation System,ACU,Kenya
59,Air Charter Service,ACV,United Kingdom
60,Aero Asia International,RSO,Pakistan
61,Air Charters,ACX,Canada
62,Air Togo,TGA,Togo
63,Air Somalia,RSM,Somali Republic
64,Atlas Cargo Lines,ACY,Morocco
65,Airservices Australia,ADA,Australia
66,Advance Leasing Company,,United States
67,Aztec Worldwide Airlines,,United States
68,Air Tindi,,Canadian Territories
69,Antonov Airlines,ADB,Ukraine
70,Air Atlantic Dominicana,ADC,Dominican Republic
71,Advanced Air Co.,ADD,Japan
72,Ada Air,ADE,Albania
73,Aerea Flying Training Organization,ADG,Spain
74,Audeli Air,ADI,Spain
75,Abicar,ADJ,Ivory Coast
76,ADC Airlines,ADK,Nigeria
77,Aero Dynamics,ADL,United Kingdom
78,Aerolineas Dominicanas,ADM,Dominican Republic
79,Aerodienst GmbH,ADN,Germany
80,Aerodiplomatic,ADP,Mexico
81,Aerodyne,ADY,United States
82,Avion Taxi,ADQ,Canada
83,Adria Airways,ADR,Slovenia
84,Aviones de Sonora,ADS,Mexico
85,Air Dorval,ADT,Canada
86,Airdeal Oy,ADU,Finland
87,Advance Air Charters,ADV,Canada
88,Air Andaman,ADW,Thailand
89,Anderson Aviation,ADX,United States
90,Air Europa,AEA,Spain
91,Air Southwest Ltd.,ASW,Canada
92,Air Special,ASX,Czech Republic
93,Aero Benin,AEB,Benin
94,Aerocesar,AEC,AEROCESAR
95,Aerotrans Airlines,AED,Russia
96,Aegean Airlines,AEE,Greece
97,Aerofumigaciones Sam,AEG,Chile
98,Aeroexpreso Interamericano,AEI,Colombia
99,Air Express,AEJ,Tanzania
100,Aerocon,AEK,Bolivia
101,Aero Madrid,AEM,Spain
102,Aeroenlaces Nacionales,AEN,Mexico
103,Aeroservicios Ejecutivos Del Occidente,AEO,Mexico
104,Aerotec,AEP,Spain
105,Air Atlantique,AAG,United Kingdom
106,Air Europe,AEL,Italy
107,Air Alma,AAJ,Canada
108,Air Express,AEQ,Sweden
109,Alaska Central Express,AER,United States
110,ACES Colombia,AES,Colombia
111,Aeronautical Radio of Thailand,AET,Thailand
112,Astraeus,AEU,United Kingdom
113,Aeroventas,AEV,Mexico
114,Aerosvit Airlines,AEW,Ukraine
115,Airway Express,AEX,United States
116,Air Italy,AEY,Italy
117,Aerial Transit Company,AEZ,United States
118,Alfa Air,AFA,Czech Republic
119,American Falcon,AFB,Argentina
120,Alliance Airlines,UTY,Australia
121,Air Universal,UVS,Sierra Leone
122,Auvia Air,UVT,Indonesia
123,African West Air,AFC,Senegal
124,Airfast Indonesia,AFE,Indonesia
125,Ariana Afghan Airlines,AFG,Afghanistan
126,Air Fecteau,AFH,Canada
127,Africaone,AFI,Uganda
128,Alliance,AFJ,Uganda
129,Africa Air Links,AFK,Sierra Leone
130,Aeroflot Russian Airlines,AFL,Russia
131,Aero Empresa Mexicana,AFO,Mexico
132,Air Bosna,BON,Bosnia and Herzegovina
133,Air Bravo,BRF,Uganda
134,Air Brasd'or,BRL,Canada
135,Air 500,BRM,Canada
136,Alba Servizi Aerotrasporti,AFQ,Italy
137,Air France,AFR,France
138,Air Partner,ACG,United Kingdom
139,Air Caledonie International,ACI,France
140,Air Caledonia,ACM,Canada
141,Air Guam,AGM,United States
142,Air Gabon,AGN,Gabon
143,Air Data,AFS,United Kingdom
144,Air Afrique Vacancies,AFV,Ivory Coast
145,Air Cargo America,MVM,United States
146,Air Salone,,Sierra Leone
147,Air-Angol,NGO,Angola
148,Air Nigeria,NGP,Nigeria
149,Air Cargo Carriers,SNC,United States
150,Air Samarkand,SND,Uzbekistan
151,Air Senegal International,SNG,Senegal
152,Air Sandy,SNY,Canada
153,Air Namibia,NMB,Namibia
154,Air Intersalonika,NSK,Greece
155,Air Anatolia,NTL,Turkey
156,Air Saigon,SGA,Vietnam
157,Afrique Regional Airways,AFW,Ivory Coast
158,Airfreight Express,AFX,United Kingdom
159,Africa Chartered Services,AFY,Nigeria
160,Africa Freight Services,AFZ,Zambia
161,Aeronaves Del Centro,AGA,Venezuela
162,Air Service Gabon,AGB,Gabon
163,Arab Agricultural Aviation Company,AGC,Egypt
164,Atlantic Gulf Airlines,AGF,United States
165,Aerolitoral,SLI,Mexico
166,Algoma Airways,AGG,Canada
167,Altagna,AGH,France
168,Angola Air Charter,AGO,Angola
169,Angola Air Charter,AGO,Angola
170,AERFI Group,AGP,Ireland
171,Aerogala,AGQ,Chile
172,Amadeus Global Travel Distribution,AGT,Spain
173,Angara Airlines,AGU,Russia
174,Air Glaciers,AGV,Switzerland
175,Aero Gambia,AGW,Gambia
176,Aviogenex,AGX,Serbia
177,Atlantic Coast Airlines,BLR,United States
178,Aero Barloz,BLZ,Mexico
179,Aeroper,PLI,Peru
180,Atlas Blue,BMM,Morocco
181,Aero Banobras,BNB,Mexico
182,Aero Flight Service,AGY,United States
183,Agrolet-Mci,AGZ,Slovakia
184,Air Alpha Greenland,AHA,Denmark
185,Azal Avia Cargo,AHC,Azerbaijan
186,Airport Helicopter Basel,AHE,AIRPORT HELICOPTER
187,Aeroservices Corporate,CJE,France
188,Aspen Helicopters,AHF,United States
189,Aerochago Airlines,AHG,Dominican Republic
190,Airplanes Holdings,AHH,Ireland
191,Air Hong Kong,AHK,Hong Kong
192,Aerochiapas,AHP,Mexico
193,Air Adriatic,AHR,Croatia
194,Air Viggi San Raffaele,AHS,Italy
195,ABC Air Hungary,AHU,Hungary
196,Aeromist-Kharkiv,AHW,Ukraine
197,Azerbaijan Airlines,AHY,Azerbaijan
198,Avies,AIA,Estonia
199,Airbus Industrie,AIB,France
200,Alpine Air Chile,AIH,Chile
201,Air Integra,AII,Canada
202,ABC Aerolineas,AIJ,Mexico
203,African Airlines International Limited,AIK,Kenya
204,African International Airways,AIN,Swaziland
205,Alpine Air Express,AIP,United States
206,Alicante Internacional Airlines,AIU,Spain
207,Aba Air,ABP,Czech Republic
208,Airblue,ABQ,Pakistan
209,Airmark Aviation,THM,Thailand
210,Airlift International,AIR,United States
211,Airest,AIT,Estonia
212,Air Baffin,BFF,Canada
213,Air Bandama,BDM,Ivory Coast
214,Air Berlin,BER,Germany
215,Air Brousse,ABT,Canada
216,Air Contractors,ABR,Ireland
217,Air Illinois,AIL,United States
218,Air India Limited,AIC,India
219,Air Inter Gabon,AIG,Gabon
220,Air Bourbon,BUB,Reunion
221,Air Atlanta Icelandic,ABD,Iceland
222,Air Inuit,AIE,Canada
223,Air Sureste,AIS,Spain
224,Air Srpska,SBK,Bosnia and Herzegovina
225,Air Tahiti Nui,THT,France
226,Airvias S/A Linhas Aereas,AIV,Brazil
227,Aero Services Executive,BES,France
228,Atlantic Island Airways,AIW,Canada
229,Aircruising Australia,AIX,Australia
230,Aircrew Check and Training Australia,AIY,Australia
231,Arkia Israel Airlines,AIZ,Israel
232,A J Services,AJA,United Kingdom
233,Aero JBR,AJB,Mexico
234,Aero Jet Express,AJE,Mexico
235,Avia Consult Flugbetriebs,AJF,Austria
236,Ameristar Jet Charter,AJI,United States
237,A2 Jet Leasing,AJJ,United States
238,Allied Air,AJK,Nigeria
239,Air Jamaica,AJM,Jamaica
240,Air One,ADH,Italy
241,Air Sahara,RSH,India
242,Air Malta,AMC,Malta
243,Aeroejecutivo,AJO,Mexico
244,Aero Jets Corporativos,AJP,Mexico
245,Aeroejecutivos Colombia,AJS,Colombia
246,Amerijet International,AJT,United States
247,Air Jetsul,AJU,Portugal
248,ANA & JP Express,AJV,Japan
249,Alpha Jet International,AJW,United States
250,Air Japan,AJX,Japan
251,Ajet,AJY,Cyprus
252,Air Korea Co. Ltd.,AKA,Republic of Korea
253,Air Livonia,LIV,Estonia
254,Air BC,ABL,Canada
255,Air Fret Senegal,ABN,Senegal
256,Air Jamahiriya Company,LJA,Libya
257,Aktjubavia,AKB,Kazakhstan
258,Arca Aerovias Colombianas Ltda.,AKC,Colombia
259,Anikay Air Company,AKF,Kyrgyzstan
260,Akhal,AKH,Turkmenistan
261,Aeromilenio,MNI,Mexico
262,Aklak Air,AKK,Canada
263,Air Kiribati,AKL,Kiribati
264,Alkan Air,AKN,Canada
265,Angkor Airways,AKW,Cambodia
266,Air Nippon Network Co. Ltd.,AKX,Japan
267,AK Navigator LLC,AKZ,Kazakhstan
268,Aero Albatros,ALB,Mexico
269,Albion Aviation,ALD,United Kingdom
270,Aeroalas Colombia,ALE,Colombia
271,Allied Command Europe (Mobile Force),ALF,Belgium
272,Aerotaxis Albatros,BTS,Mexico
273,American Flyers,FYS,United States
274,Aero Coach Aviation,DFA,United States
275,Atlantic Southeast Airlines,CAA,United States
276,ACM Air Charter,BVR,Germany
277,Air Logistics,ALG,United States
278,Aerovallarta,ALL,Mexico
279,Air ALM,ALM,Netherlands Antilles
280,Air Lincoln,ALN,United States
281,America West Airlines,AWE,United States
282,Air Wisconsin,AWI,United States
283,Aerotransporte de Carga Union,TNO,Mexico
284,Aero Taxis Cessna,TND,Mexico
285,Arizona Express Airlines,TMP,United States
286,Tatarstan Airlines,TAK,Russia
287,Allegheny Commuter Airlines,ALO,United States
288,Alpliner AG,ALP,Switzerland
289,Altair Aviation (1986),ALQ,Canada
290,Air Luxor STP,ALU,Sao Tome and Principe
291,Alas de Venezuela,ALV,Venezuela
292,Alas Nacionales,ALW,ALNACIONAL
293,Alyeska Air Service,ALY,United States
294,Alta Flights (Charters) Ltd.,ALZ,Canada
295,Air Sunshine,RSI,United States
296,ATMA,AMA,Kazakhstan
297,Aerolineas Medellin,AMD,Colombia
298,Ameriflight,AMF,United States
299,Air Libert,,France
300,Air Lithuania,KLA,Lithuania
301,Air Minas Linhas A,AMG,Brazil
302,Alan Mann Helicopters Ltd.,AMH,United Kingdom
303,Air Maldives,AMI,Maldives
304,Aviation Amos,AMJ,Canada
305,Amerer Air,AMK,Austria
306,Air Malawi,AML,Malawi
307,Aeroputul International Marculesti,AMM,Moldova
308,Air Montenegro,AMN,Montenegro
309,Air Montreal (Air Holdings Inc.),AMO,Canada
310,Aero Transporte S.A. (ATSA),AMP,Peru
311,Aeromedicare Ltd.,AMQ,United Kingdom
312,Air Sicilia,,Italy
313,Air Specialties Corporation,AMR,United States
314,Air Muskoka,AMS,Canada
315,ATA Airlines,AMT,United States
316,Air Macau,AMU,Macao
317,AMC Airlines,AMV,Egypt
318,Air Midwest,AMW,United States
319,Air Seychelles,SEY,Seychelles
320,Air Sofia,SFB,Bulgaria
321,AeroMéxico,AMX,Mexico
322,Air Ambar,AMY,Dominican Republic
323,Amiya Airline,AMZ,Nigeria
324,All Nippon Airways,ANA,Japan
325,Air Navigation And Trading Co. Ltd.,ANB,United Kingdom
326,Anglo Cargo,ANC,United Kingdom
327,Air Nostrum,ANE,Spain
328,Air Niugini,ANG,Papua New Guinea
329,Air Arabia,ABY,United Arab Emirates
330,Air Canada,ACA,Canada
331,Airport Bratsk,BRP,Russia
332,Air Wings,BSB,Moldova
333,Air Baltic,BTI,Latvia
334,Alajnihah for Air Transport,ANH,Libya
335,Air Atlantic (Nig) Limited,ANI,Nigeria
336,Air Nippon,ANK,Japan
337,Antares Airtransport,ANM,ANTARES
338,Airnorth,ANO,Australia
339,Aerol,ANQ,Colombia
340,Andes Lineas Aereas,ANS,Argentina
341,Air North Charter - Canada,ANT,Canada
342,Air Nevada,ANV,United States
343,AOM French Airlines,AOM,France
344,Aviacion Del Noroeste,ANW,AVINOR
345,Air New Zealand,ANZ,New Zealand
346,Avia Jaynar,SAP,Kazakhstan
347,Aero Servicios Empresariales,EMS,Mexico
348,Alcon Servicios Aereos,AOA,ALCON
349,AVCOM,AOC,Russia
350,Aero Vodochody,AOD,Czech Republic
351,Air One Executive,AOE,Italy
352,Atair Pty Ltd.,AOF,South Africa
353,Aero VIP,AOG,Argentina
354,Aeromundo Ejecutivo,MUN,Mexico
355,Aerolinea Muri,MUR,Mexico
356,Astoria,AOI,ASTORIA
357,Aero Rent JSC,NRO,Russia
358,Aeronord-Grup,NRP,Moldova
359,Aeroatlantico Colombia,AOK,Colombia
360,Angkor Airlines,AOL,Cambodia
361,Aero Entreprise,AON,France
362,As,AOO,COMPANY AS
363,Aeropiloto,AOP,Portugal
364,Aeroenlaces Nacionales,VIV,Mexico
365,Aerovis Airlines,VIZ,Ukraine
366,Avjet International (FZE),VJE,United Arab Emirates
367,Aerovista Gulf Express,VGF,United Arab Emirates
368,Air Vegas,VGA,United States
369,Almaver,VER,Mexico
370,Afro International Ent. Limited,AOR,Nigeria
371,Alitalia Express,SMX,Italy
372,Asia Overnight Express,AOT,Philippines
373,Air Tractor,AOU,Croatia
374,Aero Vision,AOV,France
375,Aerotaxi Del Valle,AOX,Colombia
376,Air Park Aviation Ltd.,APA,Canada
377,Airpac Airlines,APC,AIRPAC
378,Aeroservicios Monterrey,SVM,Mexico
379,Amapola Flyg AB,APF,Sweden
380,Air People International,APG,Thailand
381,Alpha Aviation,APH,AIRFLIGHT
382,ASA Pesada,API,ASA PESADA
383,Air Print,APJ,AIR PRINT
384,Atlantic Airlines,BJK,United States
385,Aerotransporte Petrolero,PET,Colombia
386,Aero Flight,ARF,Germany
387,ACM Aviation,BJT,United States
388,Aircompany Barcol,BKL,Russia
389,All Charter Limited,BLA,United Kingdom
390,Appalachian Flying Service,APL,APPALACHIAN
391,Airpac,APM,ALASKA PACIFIC
392,Aeropro,APO,Canada
393,Aerolineas Pacifico Atlantico,APP,AEROPERLAS
394,Aspen Aviation,APQ,United States
395,Aeropuma,APU,AEROPUMA
396,Air Plan International,APV,Democratic Republic of the Congo
397,Arrow Air,APW,United States
398,Apex Air Cargo,APX,United States
399,APA Internacional,APY,Dominican Republic
400,Aeroatlas,AQA,ATCO
401,Aquila Air Ltd.,AQL,Canada
402,Air Queensland,AQN,Australia
403,Aluminum Company Of America,AQO,United States
404,Aviones de Renta de Quintana Roo,AQT,AVIOQUINTANA
405,AirQuarius Aviation,AQU,South Africa
406,Aerodyne Charter Company,AQZ,United States
407,Arik Air,ARA,Nigeria
408,Avia Air N.V.,ARB,Aruba
409,Air Routing International Corp.,ARC,United States
410,Aerocondor,ARD,Portugal
411,Aires,ARE, S.A.
412,Aerolineas Argentinas,ARG,Argentina
413,Arrowhead Airways,ARH,United States
414,Aero Vics,ARI,Mexico
415,Aerojet de Costa Rica,ARJ,
416,Antillana De Navegacion Aerea,SUN,Dominican Republic
417,Aeroservicios De San Luis,SUO,Mexico
418,Aerosuper,SUP,Mexico
419,Aero Link Air Services S.L.,ARK,Spain
420,Airlec - Air Aquitaine Transport,ARL,France
421,Aeromarket Express,ARM,Spain
422,Arrow Aviation Ltd.,ARO,Canada
423,RPA-Aviataxi Ltd.,ARP,Russia
424,Air Klaipeda,KLD,Lithuania
425,Armstrong Air,ARQ,ARMSTRONG
426,Air Armenia,ARR,Armenia
427,Aeromet Servicios,ARS,Chile
428,Aerotal Aerolineas Territoriales de Colombia Ltda,ART,Colombia
429,Aravco Ltd.,ARV,United Kingdom
430,Aria,ARW,France
431,Air Xpress,ARX,AIREX
432,Airline Alania,OST,Russia
433,Air Tchad,HTT,Chad
434,Aerloineas de Techuacan,HUC,Mexico
435,Aerotransportes Huitzilin,HUT,Mexico
436,Aero Transportes Del Humaya,HUY,Mexico
437,Argosy Airways,ARY,United States
438,Air Resorts,ARZ,United States
439,Alaska Airlines,ASA,ALASKA
440,Air-Spray 1967 Ltd.,ASB,Canada
441,Air Star Corporation,ASC,Canada
442,Air Sinai,ASD,Egypt
443,Airstars,ASE,Russia
444,Air Schefferville,ASF,SCHEFF
445,African Star Airways (PTY) Ltd.,ASG,South Africa
446,Aerosun International,ASI,AEROSUN
447,Air Satellite,ASJ,Canada
448,Awesome Flight Services (PTY) Ltd.,ASM,South Africa
449,Air and Sea Transport,ASN,Russia
450,Aero Slovakia,ASO,Slovakia
451,Airsprint,ASP,Canada
452,Atlantic Southeast Airlines,ASQ,United States
453,All Star Airlines,ASR,ALL STAR
454,Air Class,ASS,AIR CLASS
455,Aerlineas Del Oeste,AST,Mexico
456,Aviones Are,NRE,Mexico
457,Air Nepal International,NPL,Nepal
458,Air Napier,NPR,New Zealand
459,Air Taxi & Cargo,WAM,Sudan
460,Arrow Panama,WAP,Panama
461,Astravia-Bissau Air Transports Ltd.,ASV,Guinea-Bissau
462,Astrakhan Airlines,ASZ,Russia
463,Air Transport Association,ATA,United States
464,Atlantair Ltd.,ATB,Canada
465,Air Tanzania,ATC,Tanzania
466,Aerotours Dominicana,ATD,Dominican Republic
467,Atlantis Transportation Services,ATE,ATLANTIS CANADA
468,Aerotrans Airline,ATG,Kazakhstan
469,Air Charter World,XAC,United States
470,Air Burkina,VBW,Burkina Faso
471,Air Travel Corp.,ATH,United States
472,Aero-Tropics Air Services,ATI,Australia
473,Air Traffic GmbH,ATJ,Germany
474,AeroTACA,ATK,Colombia
475,Aerocentral,ATL,Mexico
476,Airlines Of Tasmania,ATM,Australia
477,Air Saint Pierre,SPM,France
478,Air Transport International,ATN,United States
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ATP,Colombia
480,Air Transport Schiphol,ATQ,Netherlands
481,Aeroferinco,FEO,Mexico
482,Aero Taxis Y Servicios Alfe,FES,Mexico
483,Avialesookhrana,FFA,Russia
484,Africair Service,FFB,Senegal
485,Atlas Airlines,ATR,United States
486,Air Transport Service,ATS,Democratic Republic of the Congo
487,Aer Turas,ATT,Ireland
488,Atlant Aerobatics Ltd.,ATU,Hungary
489,Avanti Air,ATV,Germany
490,Aero Trades (Western) Ltd.,ATW,Canada
491,Austrian Airlines,AUA,Austria
492,Air Southwest,WOW,United Kingdom
493,Augsburg Airways,AUB,Germany
494,Air Corporate,CPV,Italy
495,Aviastar-Tu,TUP,Russia
496,AirBridge Cargo,ABW,Russia
497,ATUR,TUR,Ecuador
498,ATESA Aerotaxis Ecuatorianos,TXU,Ecuador
499,Austin Express,TXX,United States
500,Audi Air,AUD,AUDI AIR
501,Augusta Air Luftfahrtunternehmen,AUF,Germany
502,Abu Dhabi Amiri Flight,AUH,United Arab Emirates
503,Aeroflot-Nord,AUL,Russia
504,Air Atlantic Uruguay,AUM,Uruguay
505,Aviones Unidos,AUN,Mexico
506,Avia Business Group,AUP,Russia
507,Aero Servicios Expecializados,SVE,Mexico
508,Aurigny Air Services,AUR,United Kingdom
509,Aus-Air,AUS,Australia
510,Austral Lineas Aereas,AUT,Argentina
511,Aurora Aviation,AUU,AURORA AIR
512,Air Uganda International Ltd.,AUX,Uganda
513,Aerolineas Uruguayas,AUY,AUSA
514,Australian Airlines,AUZ,Australia
515,Avianca - Aerovias Nacionales de Colombia,AVA,AVIANCA
516,Aviation Beaufort,AVB,United Kingdom
517,Alamo Aviacion,AVD,ALAMO
518,Aviair Aviation Ltd.,AVF,Canada
519,Air Falcon,AVG,Djibouti
520,AV8 Helicopters,AVH,United Kingdom
521,Avia Traffic Company,AVJ,Kyrgyzstan
522,AV8 Helicopters,AVK,South Africa
523,Aviacion Ejecutiva Mexicana,AVM,AVEMEX
524,Air Vanuatu,AVN,Vanuatu
525,Aviation at Work,AVO,South Africa
526,Avcorp Registrations,AVP,United Kingdom
527,Alfa Aerospace,LFP,Australia
528,Atlantic Airfreight Aviation,LFR,Sao Tome and Principe
529,Aerolift Company,LFT,Sierra Leone
530,Aviation Services,AVQ,AQUILINE
531,Active Aero Charter,AVR,ACTIVE AERO
532,Avialsa T-35,AVS,Spain
533,Asia Avia Airlines,AVT,Indonesia
534,Avia Sud A,AVU,France
535,Airvantage Incorporated,AVV,United States
536,Aviator Airways,AVW,Greece
537,Aviapaslauga,AVX,Lithuania
538,ASL,XXX,Belgium
539,Air Yugoslavia,YRG,Serbia
540,Airlink Zambia,ZAK,Zambia
541,Agence Nationale des Aerodromes et de la Meteorologie,ZZM,Ivory Coast
542,Airbus Transport International,BGA,France
543,Air Bangladesh,BGD,Bangladesh
544,Aviodetachment-28,BGF,Bulgaria
545,Aero BG,BGG,Mexico
546,Aerotaxis De La Bahia,BHC,Mexico
547,Air Mediterranee,BIE,France
548,Aviaservice,BIV,Georgia
549,Aerolineas De El Salvador,SZA,El Salvador
550,Swaziland Airlink,SZL,Swaziland
551,Air Moorea,TAH,France
552,Aerovaradero,AVY,AEROVARADERO
553,Air Valencia,AVZ,Spain
554,Airways International,AWB,AIRNAT
555,Airwork,AWK,New Zealand
556,Australian Wetleasing,AWL,Australia
557,Air Niamey,AWN,Niger
558,Awood Air Ltd.,AWO,Canada
559,Arctic Wings And Rotors Ltd.,AWR,Canada
560,Auo Airclub AIST-M,ISM,Russia
561,Arab Wings,AWS,Jordan
562,Air West,AWT,Canada
563,Aeroline GmbH,AWU,Germany
564,Airwave Transport,AWV,AIRWAVE
565,Air Wales,AWW,United Kingdom
566,Aeroway,AWY,AEROWEE
567,Air Caraïbes,FWI,France
568,AirWest,AWZ,Sudan
569,Air India Express,AXB,India
570,Air Express,AXD,Sudan
571,Asian Express Airlines,AXF,Australia
572,Aeromexhaga,AXH,Mexico
573,Aeron International Airlines,AXI,AIR FREIGHTER
574,African Express Airways,AXK,Kenya
575,Air Exel,AXL,Netherlands
576,AirAsia,AXM,Malaysia
577,Alexandair,AXN,Greece
578,Aeromax,AXP,Spain
579,Action Airlines (Action Air Charter),AXQ,United States
580,Alberni Airways,BNI,Canada
581,Aerolineas Bonanza,BNZ,Mexico
582,Aerobona,BOC,Mexico
583,Aboitiz Air,BOI,Philippines
584,Axel Rent,AXR,RENTAXEL
585,Altus Airlines,AXS,United States
586,Aviaxess,AXV,France
587,Avioimpex A.D.p.o.,AXX,Macedonia
588,Axis Airways,AXY,France
589,Aladia Airlines,AYD,Mexico
590,Aykavia Aircompany,AYK,Armenia
591,Airman,AYM,AIRMAN
592,Atlantic Airlines,AYN,ATLANTIC NICARAGUA
593,Awsaj Aviation Services,AYS,Libya
594,Ayeet Aviation & Tourism,AYT,Israel
595,Atlant-Soyuz Airlines,AYZ,Russia
596,Alitalia,AZA,Italy
597,Azamat,AZB,Kazakhstan
598,Arcus-Air Logistic,AZE,Germany
599,Air Zermatt AG,AZF,Switzerland
600,Azalhelikopter,AZK,Azerbaijan
601,Africa One,AZL,Zambia
602,Aerocozumel,AZM,Mexico
603,Amaszonas,AZN,Bolivia
604,Arizona Pacific Airways,AZP,United States
605,Aviacon Zitotrans Air Company,AZS,Russia
606,Azimut,AZT,AZIMUT
607,Azov Avia Airlines,AZV,Ukraine
608,Air Zimbabwe,AZW,Zimbabwe
609,Aero Jomacha,MHC,Mexico
610,Air Memphis,MHS,Egypt
611,Air Memphis,MHU,Uganda
612,Air Marrakech Service,MKH,Morocco
613,Air Max Africa,AZX,Gabon
614,Arizona Airways,AZY,ARIZAIR
615,Azza Transport,AZZ,Sudan
616,Air Continental Inc,NAR,United States
617,Antanik-Air,NAU,Ukraine
618,Air Newark,NER,United States
619,Aircraft Support and Services,NFF,Lebanon
620,Aerobanana,OBA,Mexico
621,Amako Airlines,OBK,Nigeria
622,Aserca Airlines,OCA,Venezuela
623,Afrique CArgo Service Senegal,NFS,Senegal
624,Angoservice,NGC,Angola
625,Angel Airlines,NGE,Thailand
626,Angel Flight America,NGF,United States
627,Air Atonabee,OUL,Canada
628,Aero Nova,OVA,Spain
629,Amira Air,XPE,Austria
630,Aero Express Intercontinental,XSS,Mexico
631,Advance Aviation Services,XTJ,United States
632,Air Libya Tibesti,TLR,Libya
633,Aerovic,OVC,Ecuador
634,Airventure,RVE,Belgium
635,Aero Servicios,RVI,Mexico
636,Airvallee,RVL,Italy
637,Aeromover,OVE,Mexico
638,Aerovias Ejecutivas,OVI,Mexico
639,Aero Servicio Pity,PTD,Mexico
640,Aero Copter,PTE,Mexico
641,Rossiya-Russian Airlines,SDM,Russia
642,Air Pal,PLL,Spain
643,Air Pullmantur,PLM,Spain
644,Aviaexpress,AEH,Hungary
645,Aviones Para Servirle,PSG,Mexico
646,Avio Sluzba,SLU,Serbia
647,Air Scorpio,SCU,Bulgaria
648,Air Spirit,SIP,United States
649,Alatau Airlines,BMV,Kazakhstan
650,Aviateca,GUG,Guatemala
651,Aroostook Aviation,PXX,United States
652,Aeropycsa,PYC,Mexico
653,Association of Private Pilots of Kazakhstan,PVK,Kazakhstan
654,The Amiri Flight,BAH,Bahrain
655,Aero Services,BAS,Barbados
656,Ababeel Aviation,BBE,Sudan
657,Air Bashkortostan,BBT,Russia
658,Ambulance Air Africa,MCY,South Africa
659,American Eagle Airlines,EGF,United States
660,Aeropuelche,PUE,Chile
661,Aeroput,PUT,Serbia
662,Azzurra Air,AZI,Italy
663,Airshop,,Netherlands
664,African Transport Trading and Investment Company,,Sudan
665,AD Aviation,VUE,United Kingdom
666,Aero Costa Taxi Aereo,XCT,Mexico
667,Aerovitro,VRO,Mexico
668,Aerotaxi Villa Rica,VRI,Mexico
669,Aerovega,VEG,Mexico
670,Aerovilla,VVG,Colombia
671,Aerolineas Villaverde,VLR,Mexico
672,Aero Air,WIL,United States
673,Aero Ejecutivos,VEJ,Venezuela
674,Aero Industries Inc,WAB,United States
675,Aero Servicios Vanguardia,VNG,Mexico
676,Aero Taxi Los Valles,VAD,Spain
677,Aero Vilamoura,VMR,Portugal
678,Aero Virel,VLS,Mexico
679,Aeronautical Radio Inc,XAA,United States
680,Aerovuelox,VUO,Mexico
681,Aeronaves TSM,VTM,Mexico
682,Air Ivoire,VUN,Ivory Coast
683,Air Botswana,BOT,Botswana
684,Air-Rep,XPR,United States
685,Air Excel,XLL,Tanzania
686,Air Evans,VAE,Spain
